COMBO,n,NOK,a_eta,eta_multiplier,a_k,k_multiplier,eta_active,k_active
digital | RNG 150,1099,509,-0.5015535557307071,0.6055891120931088,0.28599282070385224,1.331082898979659,True,True
digital | RNG 160,154,73,-0.5315188222686619,0.5877116619025591,-0.10811350783325321,0.8975257144492066,True,True
digital | RNG 200,133,51,-0.38320715876435013,0.6816716703971626,0.2655710208159396,1.3041754745395941,True,True
digital | RNG 300,161,78,-0.6356537965217538,0.5295891315743071,-0.1437078106850517,0.8661407881731411,True,True
digital | RNG Other,26,11,0.0,1.0,0.0,1.0,False,False
mechanical | RNG 150,59,11,0.5623850595963819,1.754852941862485,0.0,1.0,True,False
mechanical | RNG 160,200,70,-0.15577961078758557,0.8557477671665407,-0.2844458551270775,0.7524310946470767,True,True
mechanical | RNG 200,26,5,0.0,1.0,0.0,1.0,False,False
mechanical | RNG 300,10,2,0.0,1.0,0.0,1.0,False,False
mechanical | RNG Other,17,3,0.0,1.0,0.0,1.0,False,False
