model,data_logLik,penalized_logLik,eta_combo_pct,eta_prod_pct,eta_type_pct,k_combo_pct,k_prod_pct,k_type_pct,k_p10,k_median,k_p90,k_min,k_max
all_active,-2149.3992565317817,-2176.3236777472716,100.0,100.0,100.0,100.0,100.0,100.0,0.7400267119131073,1.0044301045859299,1.4179236778972395,0.34739044601532737,2.199343662340275
balanced,-2195.809296535035,-2208.6938981729763,95.80901856763926,92.36074270557029,65.72944297082228,92.6790450928382,85.83554376657825,52.83819628647215,0.7024811826628496,0.849032554629181,1.2101859242590298,0.32199940320795506,2.0760958671582244
strict,-2208.7081031611706,-2221.082856545301,92.6790450928382,85.83554376657825,52.83819628647215,85.62334217506631,85.83554376657825,44.50928381962865,0.6841194117128018,0.8907639885727339,1.2199562321696598,0.3096723726312737,2.037234424872584
