COMBO,n,NOK,a_eta,eta_multiplier,a_k,k_multiplier,eta_active,k_active
digital | RNG 150,2862,1027,-0.08594360254299817,0.9176459826606624,0.15953355960005017,1.172963625750366,True,True
digital | RNG 160,373,165,-0.2691746866038295,0.7640097817164239,-0.09819178554511365,0.9064750382726637,True,True
digital | RNG 200,432,151,-0.14973366582723535,0.8609372429013443,0.30827620562354513,1.3610768741106676,True,True
digital | RNG 300,446,245,-0.5378831080617767,0.5839831740882003,0.22781294427976637,1.2558503894608641,True,True
digital | RNG Other,47,15,0.0,1.0,0.0,1.0,False,False
mechanical | RNG 150,1264,437,0.47702824598514154,1.6112789555729168,-0.23564123533502004,0.7900640701649313,True,True
mechanical | RNG 160,1191,330,0.5705386134262203,1.7692197203458826,-0.08393716879196925,0.9194890268865317,True,True
mechanical | RNG 200,132,32,0.9431058914931867,2.567944803142144,-0.12307759058585571,0.8841950546868889,True,True
mechanical | RNG 300,198,71,0.362176779597314,1.4364528550736422,0.05954668139779064,1.061355305372334,True,True
mechanical | RNG Other,378,110,0.4017956410580886,1.4945058858252005,0.28594780891418126,1.331022985904583,True,True
